Location,Sale Date,Sale Price,Model,Living Area,Nbhd
11301 LOUISIANA AVE S,01/23/2020,"$485,000.00",Residential,2621,Auto Club,
11307 LOUISIANA AVE S,10/14/2020,"$597,000.00",Residential,2712,Auto Club,
11401 LOUISIANA AVE S,06/30/2021,"$650,000.00",Residential,2626,Auto Club,
11384 LOUISIANA CIR,06/02/2021,"$700,000.00",Residential,2916,Auto Club,
11388 LOUISIANA CIR,12/08/2022,"$625,000.00",Residential,2423,Auto Club,
11390 LOUISIANA CIR,03/24/2020,"$530,000.00",Residential,1845,Auto Club,
11430 LOUISIANA AVE S,03/30/2021,"$585,000.00",Residential,2979,Auto Club,
11442 LOUISIANA AVE S,04/29/2020,"$467,000.00",Residential,2557,Auto Club,
11007 GLEN WILDING LN,04/10/2020,"$319,000.00",Residential,1216,Glen Wilding,
7350 BUSH LAKE DR,06/07/2021,"$740,000.00",Residential,3040,Bush Lake,
7421 BUSH LAKE DR,11/01/2021,"$677,000.00",Residential,2354,Bush Lake,
7355 BUSH LAKE DR,04/13/2021,"$640,000.00",Residential,2429,Bush Lake,
7051 KENMARE DR,07/19/2021,"$775,000.00",Residential,2953,Auto Club,
6969 KENMARE DR,12/06/2021,"$730,000.00",Residential,4086,Auto Club,
7800 BUSH LAKE DR,05/24/2022,"$731,000.00",Residential,2104,Bush Lake,
1901 W 105TH ST,08/10/2022,"$450,000.00",Residential,1486,Moir Park,
7624 AUTO CLUB CIR,09/30/2021,"$611,000.00",Residential,1993,Auto Club,
8745 LAKEVIEW RD,04/27/2021,"$545,000.00",Residential,2166,Bush Lake,
5732 W 96TH ST,09/02/2021,"$581,000.00",Residential,1957,Hyland Greens,
9432 BLAISDELL CIR,08/19/2021,"$455,000.00",Residential,2053,Central Industrial P,
8360 W 109TH ST,03/15/2022,"$780,000.00",Residential,2572,Auto Club,
8370 W 109TH ST,05/10/2022,"$675,000.00",Residential,1950,Auto Club,
11024 CAVELL CIR,06/30/2021,"$600,000.00",Residential,1982,Auto Club,
8361 W 109TH ST,11/10/2020,"$525,000.00",Residential,2752,Auto Club,
8371 W 109TH ST,10/23/2020,"$530,000.00",Residential,2692,Auto Club,
8350 W 110TH ST,05/03/2021,"$533,000.00",Residential,2506,Auto Club,
7668 SOUTH BAY DR,07/28/2021,"$745,000.00",Residential,2753,Bush Lake,
7673 SOUTH BAY DR,05/31/2022,"$860,000.00",Residential,3222,Bush Lake,
7635 SOUTH BAY DR,08/10/2022,"$720,000.00",Residential,2167,Bush Lake,
8758 WOOD CLIFF RD,08/09/2021,"$630,000.00",Residential,2522,Bush Lake,
7101 W 113TH ST,06/17/2022,"$620,000.00",Residential,1746,Auto Club,
7021 W 113TH ST,07/23/2021,"$605,000.00",Residential,2411,Auto Club,
7600 BUSH LAKE DR,03/27/2020,"$625,000.00",Residential,3481,Bush Lake,
8104 W 110TH ST,06/30/2021,"$661,000.00",Residential,2508,Auto Club,
8122 W 109TH ST CIR,10/04/2021,"$565,000.00",Residential,2114,Auto Club,
10812 YUKON AVE S,06/30/2021,"$670,000.00",Residential,2770,Auto Club,
7500 AUTO CLUB CIR,08/19/2020,"$547,500.00",Residential,2492,Auto Club,
10121 XERXES AVE S,05/27/2022,"$484,000.00",Residential,1140,Jefferson,
8109 W 93RD ST,08/25/2022,"$810,000.00",Residential,4657,Bush Lake,
9926 PENN AVE S,05/04/2020,"$280,000.00",Residential,1314,Moir Park,
807 E 96TH ST,09/18/2020,"$297,000.00",Residential,1257,Running Park,
5611 AUTO CLUB RD,04/22/2021,"$640,000.00",Residential,2485,Auto Club,
7527 W 102ND ST,05/21/2021,"$253,000.00",Residential,960,Countryside,
7900 W 84TH ST,05/31/2022,"$585,000.00",Residential,1591,Highwood,
10201 QUEBEC AVE S,09/03/2021,"$245,000.00",Residential,960,Countryside,
8310 W 109TH ST,07/15/2020,"$515,000.00",Residential,2347,Auto Club,
5812 W OLD SHAKOPEE RD,03/25/2022,"$260,500.00",Residential,1128,West Side RZ's,
11032 GLEN WILDING LN,05/03/2022,"$760,000.00",Residential,2913,Glen Wilding,
7900 TELEGRAPH RD,12/22/2020,"$540,000.00",Residential,2780,Highwood,
8419 FREMONT AVE S,12/01/2021,"$285,000.00",Residential,1206,Bryant Lake,
9540 WYOMING AVE S,08/20/2020,"$650,000.00",Residential,2132,Bush Lake,
9548 WYOMING AVE S,09/23/2021,"$605,000.00",Residential,1885,Bush Lake,
9517 WYOMING AVE S,02/05/2021,"$708,875.00",Residential,4048,Bush Lake,
9541 VIRGINIA AVE S,05/15/2020,"$690,000.00",Residential,3031,Bush Lake,
9573 VIRGINIA AVE S,07/09/2021,"$866,000.00",Residential,2391,Bush Lake,
9581 VIRGINIA AVE S,03/09/2020,"$775,000.00",Residential,3119,Bush Lake,
6963 KENMARE DR,06/01/2020,"$686,000.00",Residential,3388,Auto Club,
6998 KENMARE DR,10/08/2021,"$730,000.00",Residential,2058,Auto Club,
7630 SOUTH BAY DR,04/20/2021,"$840,000.00",Residential,2515,Bush Lake,
11033 GIRARD CURVE,03/12/2020,"$693,000.00",Residential,2167,Glen Wilding,
11010 HUMBOLDT AVE S,06/28/2021,"$826,000.00",Residential,2959,Glen Wilding,
10200 NESBITT AVE S,11/05/2021,"$600,000.00",Residential,2101,Hyland Greens,
10204 NESBITT AVE S,08/14/2020,"$575,000.00",Residential,2646,Hyland Greens,
240 NORMAN RIDGE DR,05/06/2021,"$335,000.00",Residential,1189,Norman Ridge Sub Nbh,
10027 PORTLAND AVE S,06/11/2021,"$364,000.00",Residential,1396,Pond-Dakota Mission,
8919 BIRCHWOOD LN,12/09/2022,"$960,000.00",Residential,2242,Bush Lake,
9601 LYNDALE AVE S,12/06/2022,"$2,887,727.00",Commercial,6037,,
10435 BRIAR COURT,06/30/2022,"$650,000.00",Residential,2034,Hyland Greens,
10420 NORMANDALE BLVD,10/30/2020,"$450,000.00",Residential,1962,Hyland Greens,
9516 12TH AVE S,04/15/2020,"$315,000.00",Residential,1840,Running Park,
4601 AMERICAN BLVD W,06/07/2022,"$6,700,000.00",Commercial,31990,,
10112 PILLSBURY AVE S,07/06/2022,"$410,000.00",Residential,2063,Oxboro,
7985 LEA CIR,03/24/2021,"$1,030,000.00",Residential,4398,Highwood,
9116 VINCENT AVE S,07/20/2021,"$330,000.00",Residential,1124,Marsh Lake,
7901 PENN AVE S,01/08/2021,"$995,000.00",Commercial,1872,,
4901 W 78TH ST CIR,07/08/2022,"$12,250,000.00",Commercial,1,,
4800 W 78TH ST,07/08/2022,"$12,250,000.00",Commercial,1,,
4950 W 78TH ST,07/29/2021,"$1,850,000.00",Commercial,12066,,
4960 W 78TH ST,07/29/2021,"$1,850,000.00",Commercial,12066,,
4910 W 78TH ST,07/08/2022,"$12,250,000.00",Vacant,0,,
4801 W 78TH ST CIR,07/08/2022,"$12,250,000.00",Commercial,1,,
200 NORMAN RIDGE DR,07/27/2020,"$489,000.00",Residential,2825,Norman Ridge Sub Nbh,
210 NORMAN RIDGE DR,07/10/2020,"$670,000.00",Residential,3012,Norman Ridge Sub Nbh,
10284 SCARBOROUGH RD,08/19/2022,"$585,000.00",Residential,1741,Jefferson,
10460 COLORADO CIR,06/01/2022,"$277,000.00",Residential,884,West Side RZ's,
1555 E 96TH ST,03/04/2021,"$410,000.00",Residential,1262,Pond-Dakota Mission,
10800 LYNDALE AVE S,04/16/2021,"$3,300,000.00",Commercial,59520,,
4637 KINGSDALE DR,06/01/2021,"$740,000.00",Residential,3138,Collegeview,
10737 LYNDALE BLUFFS TRAIL,08/28/2020,"$850,000.00",Residential,1810,Sans Pierre,
10755 LYNDALE BLUFFS TRAIL,04/16/2021,"$692,750.00",Residential,1722,Sans Pierre,
10767 LYNDALE BLUFFS TRAIL,11/20/2020,"$690,000.00",Residential,1725,Sans Pierre,
8053 BLOOMINGTON FWY 1,02/28/2022,"$360,000.00",Commercial,2683,,
8053 BLOOMINGTON FWY 2,12/20/2021,"$324,000.00",Commercial,2420,,
8053 BLOOMINGTON FWY 6,04/27/2022,"$435,000.00",Commercial,2527,,
9304 LYNDALE AVE S,05/21/2021,"$1,000,000.00",Commercial,3202,,
6806 W 113TH ST,04/29/2022,"$700,000.00",Residential,1985,Auto Club,
11337 JERSEY RD,08/09/2022,"$631,800.00",Residential,2658,Auto Club,
10478 COLORADO CIR,07/29/2021,"$250,000.00",Residential,1060,Norman Ridge,
401 W 86TH ST,11/10/2022,"$315,000.00",Commercial,1,,
8301 W 110TH ST,12/09/2022,"$1,100,000.00",Residential,3320,Auto Club,
11025 AQUILA BLUFFS CIR,01/14/2022,"$440,000.00",Vacant,0,Auto Club,
11017 AQUILA BLUFFS CIR,07/30/2021,"$1,990,000.00",Residential,4152,Auto Club,
10512 HOPKINS RD,07/12/2022,"$345,000.00",Residential,888,Pond-Dakota Mission,
11110 BLOOMINGTON FERRY RD,10/03/2022,"$399,900.00",Residential,1024,Auto Club,
7317 AUTO CLUB RD,09/17/2021,"$2,025,000.00",Residential,4732,Auto Club,
7317 AUTO CLUB RD,03/02/2020,"$1,650,000.00",Residential,4732,Auto Club,
5700 W 78TH ST,12/21/2022,"$2,105,000.00",Commercial,1,,
7935 W BUSH LAKE RD,09/25/2020,"$317,140.00",Residential,960,Highwood,
9220 BRIAR LN,07/15/2022,"$565,000.00",Residential,2304,Norman Ridge Sub Nbh,
9220 BRIAR LN,04/22/2020,"$450,000.00",Residential,2304,Norman Ridge Sub Nbh,
